time,Alt,Mach,heat_load,Wgt_On_Whl,Aircraft_state
0.0,0.0,0.0,50.0,1.0,0.0
2.0,66.66666666666667,0.008,50.0,1.0,0.0
4.0,133.33333333333334,0.016,50.0,1.0,0.0
6.0,200.0,0.024,50.0,1.0,0.0
8.0,266.6666666666667,0.032,50.0,1.0,0.0
10.0,333.3333333333333,0.04,50.0,1.0,0.0
12.0,400.0,0.048,50.0,1.0,0.0
14.0,466.6666666666667,0.056,50.0,1.0,0.0
16.0,533.3333333333334,0.064,50.0,1.0,0.0
18.0,600.0,0.072,50.0,1.0,0.0
20.0,666.6666666666666,0.08,50.0,1.0,0.0
22.0,733.3333333333334,0.088,50.0,1.0,0.0
24.0,800.0,0.096,50.0,1.0,0.0
26.0,866.6666666666667,0.104,50.0,1.0,0.0
28.0,933.3333333333334,0.112,50.0,1.0,0.0
30.0,1000.0,0.12,50.0,1.0,0.0
32.0,1066.6666666666667,0.128,50.0,1.0,0.0
34.0,1133.3333333333333,0.13599999999999998,50.0,1.0,0.0
36.0,1200.0,0.144,50.0,1.0,0.0
38.0,1266.6666666666667,0.152,50.0,1.0,0.0
40.0,1333.3333333333333,0.16,50.0,1.0,0.0
42.0,1400.0000000000002,0.168,50.0,1.0,0.0
44.0,1466.6666666666667,0.176,50.0,1.0,0.0
46.0,1533.3333333333333,0.18399999999999997,50.0,1.0,0.0
48.0,1600.0,0.192,50.0,1.0,0.0
50.0,1666.6666666666665,0.19999999999999998,50.0,1.0,0.0
52.0,1733.3333333333335,0.208,50.0,1.0,0.0
54.0,1800.0,0.216,50.0,1.0,0.0
56.0,1866.6666666666667,0.224,50.0,1.0,0.0
58.0,1933.3333333333333,0.23199999999999998,50.0,1.0,0.0
60.0,2000.0,0.24,50.0,1.0,0.0
62.0,2066.6666666666665,0.248,50.0,1.0,0.0
64.0,2133.3333333333335,0.256,50.0,1.0,0.0
66.0,2200.0,0.264,50.0,1.0,0.0
68.0,2266.6666666666665,0.27199999999999996,50.0,1.0,0.0
70.0,2333.3333333333335,0.27999999999999997,50.0,1.0,0.0
72.0,2400.0,0.288,50.0,1.0,0.0
74.0,2466.6666666666665,0.296,50.0,1.0,0.0
76.0,2533.3333333333335,0.304,50.0,1.0,0.0
78.0,2600.0,0.312,50.0,1.0,0.0
80.0,2666.6666666666665,0.32,50.0,1.0,0.0
82.0,2733.333333333333,0.32799999999999996,50.0,1.0,0.0
84.0,2800.0000000000005,0.336,50.0,1.0,0.0
86.0,2866.666666666667,0.34400000000000003,50.0,1.0,0.0
88.0,2933.3333333333335,0.352,50.0,1.0,0.0
90.0,3000.0,0.36,50.0,1.0,0.0
92.0,3066.6666666666665,0.36799999999999994,50.0,1.0,0.0
94.0,3133.3333333333335,0.376,50.0,1.0,0.0
96.0,3200.0,0.384,50.0,1.0,0.0
98.0,3266.6666666666665,0.39199999999999996,50.0,1.0,0.0
100.0,3333.333333333333,0.39999999999999997,50.0,1.0,0.0
102.0,3400.0000000000005,0.40800000000000003,50.0,1.0,0.0
104.0,3466.666666666667,0.416,50.0,1.0,0.0
106.0,3533.3333333333335,0.424,50.0,1.0,0.0
108.0,3600.0,0.432,50.0,1.0,0.0
110.0,3666.6666666666665,0.43999999999999995,50.0,1.0,0.0
112.0,3733.3333333333335,0.448,50.0,1.0,0.0
114.0,3800.0,0.45599999999999996,50.0,1.0,0.0
116.0,3866.6666666666665,0.46399999999999997,50.0,1.0,0.0
118.0,3933.333333333333,0.472,50.0,1.0,0.0
120.0,4000.0,0.48,50.0,1.0,0.0
122.0,4066.666666666667,0.488,50.0,1.0,0.0
124.0,4133.333333333333,0.496,50.0,1.0,0.0
126.0,4200.0,0.504,50.0,1.0,0.0
128.0,4266.666666666667,0.512,50.0,1.0,0.0
130.0,4333.333333333333,0.52,50.0,1.0,0.0
132.0,4400.0,0.528,50.0,1.0,0.0
134.0,4466.666666666667,0.5359999999999999,50.0,1.0,0.0
136.0,4533.333333333333,0.5439999999999999,50.0,1.0,0.0
138.0,4600.0,0.552,50.0,1.0,0.0
140.0,4666.666666666667,0.5599999999999999,50.0,1.0,0.0
142.0,4733.333333333333,0.568,50.0,1.0,0.0
144.0,4800.0,0.576,50.0,1.0,0.0
146.0,4866.666666666667,0.584,50.0,1.0,0.0
148.0,4933.333333333333,0.592,50.0,1.0,0.0
150.0,5000.0,0.6,4000.0,0.0,4.0
152.0,5066.666666666667,0.608,4000.0,0.0,4.0
154.0,5133.333333333333,0.616,4000.0,0.0,4.0
156.0,5200.0,0.624,4000.0,0.0,4.0
158.0,5266.666666666666,0.6319999999999999,4000.0,0.0,4.0
160.0,5333.333333333333,0.64,4000.0,0.0,4.0
162.0,5400.0,0.648,4000.0,0.0,4.0
164.0,5466.666666666666,0.6559999999999999,4000.0,0.0,4.0
166.0,5533.333333333333,0.664,4000.0,0.0,4.0
168.0,5600.000000000001,0.672,4000.0,0.0,4.0
170.0,5666.666666666667,0.6799999999999999,4000.0,0.0,4.0
172.0,5733.333333333334,0.6880000000000001,4000.0,0.0,4.0
174.0,5800.0,0.696,4000.0,0.0,4.0
176.0,5866.666666666667,0.704,4000.0,0.0,4.0
178.0,5933.333333333334,0.7120000000000001,4000.0,0.0,4.0
180.0,6000.0,0.72,4000.0,0.0,4.0
182.0,6066.666666666667,0.728,4000.0,0.0,4.0
184.0,6133.333333333333,0.7359999999999999,4000.0,0.0,4.0
186.0,6200.0,0.744,4000.0,0.0,4.0
188.0,6266.666666666667,0.752,4000.0,0.0,4.0
190.0,6333.333333333333,0.7599999999999999,4000.0,0.0,4.0
